website,category_scores/Asymmetric/iteration_1,category_scores/Covert/iteration_1,category_scores/Deceptive/iteration_1,category_scores/Hides Information/iteration_1,category_scores/Restrictive/iteration_1,overall_assessment/total_score/iteration_1,overall_assessment/max_possible_score,overall_assessment/summary/iteration_1,category_scores/Asymmetric/iteration_2,category_scores/Covert/iteration_2,category_scores/Deceptive/iteration_2,category_scores/Hides Information/iteration_2,category_scores/Restrictive/iteration_2,overall_assessment/total_score/iteration_2,overall_assessment/summary/iteration_2,category_scores/Asymmetric/iteration_3,category_scores/Covert/iteration_3,category_scores/Deceptive/iteration_3,category_scores/Hides Information/iteration_3,category_scores/Restrictive/iteration_3,overall_assessment/total_score/iteration_3,overall_assessment/summary/iteration_3
Peter Alexander,,,,,,,,,8,5,6,7,8,34,"The website employs several dark patterns, particularly in Asymmetric and Restrictive categories. The presentation biases the user's interaction, important information about the site's requirements is not clear upfront, and user alternatives are prominently limited.",,,,,,,
Gorman,,,,,,,,,5,6,7,7,4,29,"The website contains several dark patterns. The presentation shows a mild bias, especially in the large '50% off' claim, while the exclusions are in small print. Some covert techniques and deceptive elements are visible, such as the prominent display of discounts without specifying the exclusions clearly. Information about the exclusions is somewhat hidden, making it unclear without further investigation. However, the options are not extremely restrictive, providing a decent amount of freedom for user choices.",6,4,6,8,4,28,"The website exhibits several dark patterns, particularly in hiding information and presenting biased choices. The promotion prominently displays a '50% off' sale, but the mention of 'exclusions apply' in a much smaller font can be misleading. The overall presentation favors the highlighted sale prominently while other information takes a backseat."
Country Road,0,0,0,2,2,4,50,The website is currently down and displays a message about technical difficulties. There are no significant dark patterns present; the information is straightforward and there are no manipulative design elements.,,,,,,,,1,1,0,1,1,4,"The website shows a 'We'll be back soon' message indicating technical difficulties. There are no significant dark patterns present. The information provided is clear, without any bias, hidden information, or restrictions on user choices."
Mimco,,,,,,,,,2,1,2,3,3,11,"The website's offline page minimally employs dark patterns. It directs users to social media for updates, which is slightly restrictive and hides some information but overall, the approach is relatively transparent and symmetric.",8,6,4,5,6,29,"The website uses significant dark patterns. The popup for joining to receive discounts is prominently displayed, making alternative actions less intuitive or mildly hidden, thereby affecting the Asymmetric category. Covert influence is present due to the design elements subtly encouraging sign-up without transparent choice. The site has some misinformation about 'rewards,' which may be perceived as exaggerative. Some key information, such as the benefits of not signing up, might only be available through multiple steps, impacting the Hides Information category. Choices and actions are somewhat restrictive, as the user is nudged toward signing up."
Witchery,,,,,,,,,,,,,,,,,,,,,,
Seed Heritage,5,4,3,6,2,20,50,"The website displays moderate use of dark patterns, particularly in the Asymmetric and Hides Information categories. While there’s a noticeable emphasis on sales promotion, the actual details and terms might not be immediately clear to the user. The overall design subtly influences user choices but does not heavily restrict or deceive them.",,,,,,,,,,,,,,
Sportscraft,,,,,,,,,5,3,4,7,3,22,"The website employs some dark patterns, with notably high scores in Hides Information. The presentation is somewhat biased with emphasized promotional sections. While important details are available, some information requires additional steps to access.",6,4,5,7,5,27,"The website employs several dark patterns, with particularly notable scores in Asymmetric and Hides Information categories. The presentation of choices is biased towards certain options, and some important information may be obscured or delayed."
Saba,,,,,,,,,,,,,,,,5,3,4,6,2,20,"The website has moderate use of dark patterns, with Hides Information being the most prominent issue. The overall design biases users towards specific actions but does so subtly. It restricts user choices to a lesser degree and does not heavily employ covert or deceptive techniques."
Politix,8,5,7,6,5,31,50,The website uses several dark patterns. The 'Sale' presentation is biased towards making purchases with a prominent 'Shop Now' call to action (Asymmetric: 8). Mild design elements subtly influence user choices (Covert: 5). The '25% OFF*' might have conditions not immediately apparent (Deceptive: 7). Information about the terms of the sale is somewhat obscured (Hides Information: 6). Users face some restrictions with choices such as 'Click and Collect' being temporarily unavailable (Restrictive: 5).,7,4,5,6,2,24,The website demonstrates a noticeable bias in the presentation of choices and partially obscures information relevant to the user. The overall use of covert and restrictive techniques is moderate but the presentation prominently nudges users towards a specific action without being heavily restrictive.,7,3,5,6,5,26,"The website exhibits several dark patterns. The presentation favors one action noticeably and some key details such as what '25% OFF*' exactly means are not immediately clear, implying some information may be obscured. While there are some restrictions, there is still freedom to choose."
MJ Bale,,,,,,,,,5,4,3,5,4,21,"The website has some elements of dark patterns, particularly in the Asymmetric and Hides Information categories. The presentation prefers specific user actions, and some information may be less immediately accessible.",,,,,,,
Calibre,,,,,,,,,5,4,3,6,4,22,"The website exhibits some dark patterns, primarily in the Hides Information category. Key elements are not immediately visible or accessible. However, the other categories such as Asymmetric and Restrictive show mild to moderate signs of biased design.",,,,,,,
R.M. Williams,6,3,4,5,4,22,50,"The website employs some dark patterns with particular emphasis on asymmetric design. Users are subtly guided towards the preferred options, but other options are still accessible. Information is not fully hidden but may require additional steps for clarity.",6,5,3,5,4,23,"The website demonstrates moderate use of dark patterns. The presentation is noticeabally biased towards the Canadian website option, and some information is only available after additional steps. The user does have some freedom of choice, but the interface subtly influences user behavior.",7,4,3,5,4,23,"The website exhibits some use of dark patterns, with the highest score in the Asymmetric category. The presentation is biased with a more prominent option to switch to the Canadian website. Some information is obscured or requires additional steps to access, but overall, the manipulation is not overwhelmingly deceptive or restrictive."
Hush Puppies,,,,,,,,,,,,,,,,3,2,2,5,2,14,"The website uses fairly straightforward design elements with mild asymmetry in options like the 'Shop Now' button which is prominently displayed. Information is relatively easy to find, although some details about shipping and returns are presented in a banner rather than detailed view. There are minimal restrictions or covert designs influencing user decisions."
Windsor Smith,6,4,3,6,4,23,50,"The website employs some dark patterns, with noticeable use of asymmetric design and hidden information. The popup prioritizes signing up for promotional emails but includes an option to close it. Deceptive and restrictive elements are less pronounced but still present.",6,5,4,6,3,24,"The website employs several dark patterns, primarily using an asymmetric design to encourage email sign-ups by offering a discount. Information hiding is moderate as users are required to sign up to receive the discount. The site is also somewhat covert in manipulating choices by presenting the offer prominently upon arrival.",,,,,,,
Aquila,6,5,4,6,8,29,50,"The website has several dark patterns, especially in the Restrictive and Hides Information categories. The presentation is notably biased towards membership, and some important details may only be discovered after additional actions.",7,5,4,6,8,30,"The website employs several dark patterns, with moderately high scores in Restrictive and Asymmetric categories. The presentation favors joining as an AQUILA+ member, and some important information is less prominent.",6,3,4,7,7,27,"The website employs a number of dark patterns. The presentation is noticeably biased towards becoming a member, with important information about membership benefits somewhat hidden or delayed. User choices are somewhat limited, with emphasis on logging in or joining the membership program."
Betts,3,3,2,4,2,14,50,"The website employs minor dark patterns. There is a slight bias presentation in the 'Shop Now' button, and some information such as detailed product specifics might require additional steps to access.",5,3,4,6,2,20,The website has a moderately biased presentation with more emphasis on certain products and less on others. Important information is somewhat obscured but not entirely hidden. The site has a mild influence on user choices but provides reasonable freedom with low restrictions.,,,,,,,
Spendless Shoes,6,5,4,7,3,25,50,"The website shows several dark patterns, with particularly high scores in Asymmetric and Hides Information categories. The sign-up window biases the user towards signing up by offering a discount prominently. Necessary information like the minimum spend for the discount is somewhat obscured at the bottom of the sign-up box, potentially leading to user misunderstanding.",,,,,,,,5,6,3,6,2,22,"The website employs a moderate amount of dark patterns. The newsletter sign-up form is visually prominent and offers an incentive, which makes ignoring it less intuitive. The detailed terms and conditions are in small print, which affects transparency. However, the restrictive nature is low as users are free to close the pop-up."
Platypus Shoes,5,6,5,7,4,27,50,"The website shows several dark patterns, particularly in the Hides Information and Covert categories. The presentation of deals and offers is somewhat biased, with important information not immediately visible, thus making user decisions subtly guided towards certain actions.",,,,,,,,7,5,4,6,6,28,"The website employs several dark patterns, with notably higher scores in the Asymmetric and Hides Information categories. It uses bold and repetitive messaging to create urgency and attract user attention, and important information such as terms and conditions are less prominently displayed."
Foot Locker,8,7,5,6,9,35,50,"The website employs several dark patterns, particularly in being Restrictive and using Asymmetric designs. The user is blocked with minimal explanation and has limited options to proceed, noticeable biases in the presentation of explanations, subtly covert influences, partially misleading information, and important details are somewhat delayed.",,,,,,,,,,,,,,
Rebel Sport,,,,,,,,,6,5,4,7,3,25,"The website presents some dark patterns, with particular attention to hiding certain information and a somewhat biased presentation. Important aspects like exclusions are mentioned but could be more prominent to ensure clarity.",,,,,,,
Supercheap Auto,6,5,3,4,3,21,50,"The website displays some dark pattern techniques. The layout is somewhat asymmetric, giving notable prominence to specific actions. While it does employ subtle influencing techniques, it is not heavily deceptive. Information is generally available but sometimes requires additional navigation. The user is not excessively restricted in their choices.",,,,,,,,,,,,,,
Bunnings,,,,,,,,,,,,,,,,,,,,,,
Big W,0,0,0,0,0,0,50,"The webpage could not be reached, and hence a detailed assessment for dark patterns cannot be conducted. No dark patterns are applicable in this scenario.",0,0,0,0,0,0,"The webpage cannot be reached due to an error (ERR_HTTP2_PROTOCOL_ERROR). As a result, no analysis can be performed on the dark patterns of this website.",,,,,,,
Dan Murphy's,,,,,,,,,9,7,8,9,10,43,"The website employs several dark patterns, with particularly high scores in Restrictive, Hides Information, and Asymmetric categories. The presentation is extremely biased, important information is hidden, and user decisions appear to be heavily manipulated without adequate transparency.",0,2,6,8,9,25,"The website employs certain dark patterns, mainly in the Deceptive, Hides Information, and Restrictive categories. The information is obscured regarding why the user is blocked, creating confusion and limitation in accessing the website. There are no notable biases in presentation, but the abrupt block is both deceptive and restrictive without clear information."
Liquorland,,,,,,,,,6,4,5,7,8,30,"The website presents several dark patterns, with significant scores in the Restrictive and Hides Information categories. The process for users to access the site appears somewhat biased, requiring specific actions like disabling proxies or solving CAPTCHAs, and important information is not immediately evident.",3,6,5,7,8,29,"The website demonstrates several dark patterns, notably in the Restrictive, Hides Information, and Covert categories. Users are forced to solve a CAPTCHA to access the site, while important information regarding the reason for the block is somewhat obscured and not immediately clear."
Aesop,7,4,3,6,5,25,50,"The website employs several dark patterns. The cookie consent notice is clearly biased towards 'Accept all cookies' with more visual prominence and a straightforward option, while 'Cookies settings' is less prominent and requires more effort. Some crucial information about privacy settings is not immediately visible and requires additional action to access.",7,5,3,4,2,21,"The website demonstrates a moderate use of dark patterns. The cookie consent banner exhibits some asymmetry in the prompts, with the 'Accept all cookies' button being more prominent than the 'Cookies settings' option. Users are subtly influenced towards accepting all cookies rather than customizing settings. However, the website does not heavily restrict user choices or hide vital information beyond this instance.",8,5,4,6,3,26,"The website employs several dark patterns, with a particularly high score in the Asymmetric category. User choices are notably biased, with the 'Accept all cookies' option more prominently displayed compared to the 'Cookies settings' option. While there is some subtle influence on user decisions, crucial information is not entirely hidden, but it does require additional effort to access."
Mecca,5,4,3,4,3,19,50,"The website employs some dark patterns, particularly in the Asymmetric category, as the 'Shop Tower 28' button is prominently displayed, while alternative choices are less highlighted. The Covert and Hides Information categories scored equally, indicating mild use of subtle influences and some information that requires steps to access. Deceptive and Restrictive scores are relatively low, suggesting straightforward information and some freedom in user choices.",,,,,,,,,,,,,,
Typo,6,4,5,6,3,24,50,"The website shows some use of dark patterns. It is slightly biased in presentation, with notable elements that may subtly influence user decisions. Some important information might be obscured or only available after additional steps. The design, however, is not highly restrictive.",7,5,6,7,6,31,"The Typo website demonstrates several dark patterns, with particularly notable instances of asymmetric design favoring user login and exclusive offers. Information such as perks is slightly hidden, and the site employs covert techniques to encourage particular actions like logging in and joining for free delivery.",7,5,4,6,3,25,"The website employs a few dark patterns, with a noticeably biased presentation in the Asymmetric category and hidden information in some sections. Covert techniques are moderately used, and there are mild restrictions on user choices."
Cotton On,,,,,,,,,,,,,,,,,,,,,,
Jay Jays,7,5,6,8,9,35,50,"The website displays several dark patterns, with particularly high scores in Restrictive and Hides Information categories. The access restriction creates a notably asymmetric experience, and the reason for the block is not completely clear and could be misleading or inaccurate.",8,7,6,9,10,40,"The website employs several prominent dark patterns. Choices are notably biased, covert techniques influence user decisions, and there's a mix of truthful and misleading information. Crucial information is mostly hidden or revealed late, and access is highly restrictive without clear alternatives.",6,5,4,6,7,28,"The website employs several dark patterns, with moderately high scores in Asymmetric and Restrictive categories. The choices are noticeably biased towards starting shopping without providing easy access to more information, and some necessary information such as the actual process of delivery and geographic restrictions is obscured or delayed."
Supre,6,4,5,7,8,30,50,"The website employs a number of dark patterns, with a particularly high score in the Restrictive and Hides Information categories. The presentation is noticeably biased towards user sign-ups, and important information about terms and conditions is somewhat obscured or only accessible through additional steps.",8,5,6,7,4,30,"The website employs several dark patterns, particularly in the areas of asymmetry and hidden information. The presentation is noticeably biased towards certain choices, and important terms and conditions regarding promotions might not be immediately clear.",,,,,,,
The Good Guys,6,7,5,6,5,29,50,"The website shows several dark patterns, particularly in Asymmetric and Covert categories. The promotional elements are noticeably biased, and some information requires additional steps or is presented in a way that subtly influences user choices. While there are moderately restrictive elements, they are not overwhelming.",,,,,,,,,,,,,,
Appliances Online,6,4,5,6,3,24,50,"The website utilizes several mild dark patterns. The presentation is somewhat biased, but not extremely so. Some information is slightly hidden, and there is a slight use of covert techniques. The site imposes mild restrictions on user choices.",6,4,5,7,5,27,"The website exhibits several dark patterns, particularly in Asymmetric and Hides Information categories. The presentation favors certain elements like hot deals, while some necessary information, such as terms and conditions for offers, is not immediately available.",,,,,,,
Autobarn,,,,,,,,,,,,,,,,0,0,0,0,7,7,"The website does not employ major dark patterns in terms of asymmetric, covert, or deceptive practices. However, it does have restrictive elements due to access being blocked to certain users based on IP addresses, thereby limiting accessibility."
Anaconda,8,6,5,7,7,33,50,"The website exhibits several dark patterns, particularly noticeable in Asymmetric and Covert categories. Choices are presented with significant bias, and important information tends to be hidden or less prominently displayed, influencing user behavior.",6,5,4,7,3,25,"The website demonstrates several dark patterns, especially in the Asymmetric and Hides Information categories. The use of a large, time-sensitive sale banner can create urgency, while the cookie consent popup gives an impression of limited control, despite the availability of the privacy policy. Overall, the design subtly biases user decisions and occasionally obscures information, but is not highly restrictive.",,,,,,,
Macpac,,,,,,,,,,,,,,,,,,,,,,
Kathmandu,,,,,,,,,6,4,5,6,2,23,"The website presents noticeable asymmetry in choices, with 'Accept All Cookies' being more prominent than 'Cookies Settings'. There are some subtle influences on user decisions and a moderate level of hidden information, though it is not highly restrictive.",7,6,4,5,4,26,"The website uses a noticeable asymmetric design in the cookie consent pop-up, where 'Accept All Cookies' is more prominent than 'Cookies Settings'. Although some covert techniques are present, they are not extremely manipulative. There is a moderate level of hidden information and restrictive user experience, but these are not severely limiting."
Mountain Designs,7,5,4,6,6,28,50,"The website employs several dark patterns, with notably high scores in Asymmetric and Hides Information categories. The choices presented, such as cookie consent, are noticeably biased, and important information such as privacy details is somewhat obscured. The site design subtly influences user decisions and limits alternatives.",,,,,,,,6,5,4,7,8,30,"The website employs several dark patterns, with particularly high scores in Restrictive and Hides Information categories. The cookie consent prompt is noticeably biased towards accepting and continuing, with important information on cookie policy somewhat obscured."
BCF,,,,,,,,,,,,,,,,,,,,,,
Torpedo7,,,,,,,,,2,1,2,2,2,9,"The website interface shown does not employ significant dark patterns. The presentation is generally balanced, and there is no evident manipulation or hiding of information. User choices are not restricted, and information appears to be straightforward and accessible.",2,1,2,3,2,10,The website employs minimal dark patterns. The design is mostly straightforward with equal prominence given to choices. Information is generally clear but could be slightly more transparent.
Rivers,7,5,4,6,3,25,50,"The website employs several dark patterns, with particularly high scores in Asymmetric and Hides Information categories. The presentation is noticeably biased towards promotions, and some information might only be revealed through additional steps, like the exact terms of the $10 offers.",6,5,4,7,5,27,"The website exhibits several dark patterns, particularly in terms of asymmetric presentation and hiding information. The design mildly influences user decisions through prominent 'Shop Now' buttons and can obscure detailed information until further browsing.",6,5,4,5,3,23,"The website exhibits several dark patterns, though none are extremely pronounced. The emphasis on sale items is visually prominent, possibly nudging users towards specific choices (Asymmetric and Covert). The information, while presented in a legitimate context, might obscure the true value or availability of non-sale items (Hides Information). However, there aren't highly restrictive mechanisms, allowing for some user freedom in navigating the site."
Just Jeans,5,6,4,7,8,30,50,"The website employs several dark patterns, with particularly high scores in Restrictive and Hides Information categories. The presentation is somewhat biased, and crucial information may be hidden or only partially revealed.",,,,,,,,,,,,,,
Jeanswest,3,2,4,3,2,14,50,"The website has minimal use of dark patterns. While there is slight asymmetry in how offers are presented and possible mild deceptive elements due to unclear details on discounts, overall information is relatively accessible and choices are not heavily restricted.",,,,,,,,3,2,4,5,2,16,"The website predominantly uses fair design practices with minor instances of dark patterns. The presentation of choices is mildly biased, and some information requires additional steps to access. However, deceptive or covert techniques and restrictive practices are minimal."
Bardot,,,,,,,,,8,5,7,7,6,33,"The website employs several dark patterns, with particularly high scores in the Asymmetric and Deceptive categories. The options presented for cookies are noticeably biased towards acceptance, and some information is somewhat obscured or requires additional steps to access.",8,6,5,7,7,33,"The website contains several dark patterns. The cookie consent dialog is notably biased towards acceptance, with no clear option to decline. Important information regarding cookies and privacy policy is not immediately visible, which can mislead users. Overall, the site restricts user choices and uses subtle design techniques to influence user behavior."
Decjuba,6,4,3,5,2,20,50,"The website has some noticeable biases, particularly in the Asymmetric and Hides Information categories. The presentation of country options is slightly skewed, and some information may not be immediately clear. The restrictive nature is low since the user still has the option to ignore the prompt.",7,6,5,6,8,32,"The website utilizes several dark patterns, predominantly biased presentations, restricted choices, and hidden information. The notice suggests Australia and New Zealand despite the location detection pointing to Canada, and the 'Ignore' button is less prominent than the country choices.",5,4,2,6,7,24,"The website shows moderate use of dark patterns, with significantly higher scores in Restrictive and Hides Information categories. The prompt for location confirmation subtly pushes options and makes ignoring less prominent."
Cue,,,,,,,,,,,,,,,,,,,,,,
Portmans,8,6,4,7,8,33,50,"The website employs several dark patterns, with particularly high scores in Asymmetric and Restrictive categories. The presentation is noticeably biased, and some information is obscured or only revealed after certain actions. User decisions are subtly influenced by covert design elements.",7,6,4,8,8,33,"The website employs several dark patterns, particularly in terms of asymmetry and restricted access. The presentation is biased as it requires users to disable privacy measures or request to be unblocked, obscuring the reason for the block, which adds to user frustration and confusion.",5,7,5,6,8,31,"The website employs multiple dark patterns, notably in the Covert and Restrictive categories. The pop-up interrupts the user flow and pre-selects Canada, subtly influencing the user without clear indication of other options. Important information concerning shipping details and cookie consent is not immediately transparent."
Forever New,6,5,3,4,2,20,50,"The website displays a moderate use of dark patterns. The 'OK' button is more prominently displayed than the 'Cancel' button, leading to a somewhat biased visual presentation. Some subtle manipulation is present in guiding the user towards a specific action, but information transparency is relatively maintained, and there are no heavy restrictions on user choices.",6,5,4,5,4,24,"The website employs several dark patterns, particularly in the Asymmetric category, where the alternative option (Cancel) is less visually prominent compared to the preferred action (OK) to switch to the local store. This design may subtly steer users towards a specific choice. However, crucial information is not entirely hidden, and there are still user choices available, albeit with slight biases.",,,,,,,
Sussan,4,2,2,3,1,12,50,"The website shows a low to moderate use of dark patterns. There is some asymmetry in the presentation of promotions, but options are quite visible. Covert, deceptive elements, and hidden information are minimal, and the website offers considerable freedom to users. Important information is generally accessible with only slight delays.",,,,,,,,5,4,3,7,2,21,"The website demonstrates some dark patterns, particularly in how information is somewhat hidden and how choices may be asymmetrically presented. However, it is not highly restrictive and does not employ heavily deceptive or covert techniques."
Dotti,5,7,6,8,8,34,50,"The website employs several dark patterns in its anomaly detection message. It significantly limits user choices, obscures important information, and subtly uses covert techniques. The presentation is biased, with alternative choices being less prominent. The user experience is notably restrictive and less transparent.",,,,,,,,7,6,5,8,7,33,"The website employs several dark patterns, with particularly high scores in Hides Information and Asymmetric categories. The presentation favors starting shopping without clearly highlighting other options, and important information regarding shipping and cookies is somewhat hidden or delayed."
OshKosh,5,6,2,4,6,23,50,"The website employs a few mild dark patterns. The necessity to verify for continuing shopping imposes some restrictions and may appear asymmetric and covert. While some information is hidden, overall, the page does not seem heavily deceptive.",,,,,,,,,,,,,,
Adairs,,,,,,,,,,,,,,,,5,4,6,7,5,27,"The website employs several dark patterns, with particularly notable scores in Hides Information and Deceptive categories. The presentation is mildly biased, and some important information may not be immediately apparent."
Sheridan,4,2,3,5,2,16,50,"The website shows minimal use of dark patterns. There is a mildly biased presentation in favor of certain options, and some information requires additional steps to access, but overall, the design is fairly straightforward without excessive restrictions or covert influences.",3,2,2,4,3,14,"The website employs mild dark patterns. The overall presentation is relatively balanced with minor biases. Some information is slightly delayed or requires additional steps to access, but there aren't severe restrictions or misleading elements.",,,,,,,
Bed Bath N' Table,,,,,,,,,5,4,5,6,7,27,"The website employs several dark patterns, with particularly high scores in the Restrictive and Hides Information categories. The presentation of the discount offers is somewhat biased, urging users to sign in for the discount with limited alternatives readily apparent. Important information like the terms and conditions for the discount isn't prominently visible.",4,3,3,3,2,15,"The website employs a few dark patterns, mainly in the Asymmetric category. The design mildly favors certain choices but does not heavily manipulate users. Information is generally accessible, and user restrictions are minimal."
Freedom,,,,,,,,,,,,,,,,,,,,,,
Fantastic Furniture,5,3,4,7,3,22,50,"The website exhibits some dark patterns, with a notably higher score in the Hides Information category due to the obscuring of certain crucial details. The presentation is mildly biased, but critical information is obscured and revealed later, contributing to the scores in Deceptive and Hides Information categories.",4,5,6,7,2,24,"The website incorporates some dark patterns, primarily in the Hides Information and Deceptive categories. There is a noticeable bias in presentation towards enticing offers, but user choices are not overly restricted. Key information, such as detailed terms and conditions, could be more transparent.",5,3,4,6,2,20,"The website has a few dark patterns, with a particularly high score in Hides Information category. The presentation slightly favors certain choices, and some information, like terms and conditions for offers, may require extra steps to access."
Amart Furniture,5,4,3,4,2,18,50,"The website employs some dark patterns, particularly mild asymmetry and covert techniques to direct user attention. While the information is not overtly deceptive, certain marketing tactics might cause some confusion. Restrictive behaviors are minimal, providing reasonable flexibility for user choices.",,,,,,,,6,5,7,7,5,30,"The website employs multiple dark patterns, particularly in the Asymmetric and Deceptive categories. It prominently displays a flash sale with compelling discounts, which may pressure users to make hasty purchasing decisions. Some important information is somewhat obscured and the design subtly influences user choices."
IKEA Australia,7,5,4,6,3,25,50,"The website uses several dark patterns, particularly in the presentation of the cookie consent prompt. Mild covert techniques are used to influence user choices, and information is somewhat obscured but not heavily restricted or deceiving.",8,5,6,7,3,29,"The website employs several dark patterns. The presentation is noticeably biased with a strong emphasis on the 'Ok' button for cookie consent, which affects the Asymmetric score. There are subtle covert techniques and mildly deceptive elements, particularly in how information is presented and requiring user action to adjust settings. Important information is somewhat obscured but not completely hidden. There are some restrictions on user choices but alternatives are available.",,,,,,,
Forty Winks,,,,,,,,,9,5,2,8,10,34,"The website employs several dark patterns. The presentation is extremely biased, notably asymmetric, and very restrictive as it completely blocks access. Important information about why the user is blocked is not readily available, although it appears to be straightforward. Thus, it scores higher in hiding information and restrictiveness categories.",,,,,,,
Snooze,5,7,4,6,3,25,50,"The website uses several dark patterns, mainly in the Covert and Hides Information categories. There is mild bias in the presentation of choices, and some information is presented with subtle influences, such as the use of a countdown timer to create urgency.",6,7,3,2,4,22,"The website exhibits several dark patterns, particularly in the Asymmetric and Covert categories. The emphasis on the countdown timer creates a sense of urgency, potentially prompting users to make quick decisions. However, there is no significant use of deceptive information or hiding critical information.",4,5,6,7,3,25,"The website shows moderate use of dark patterns, particularly in the Deceptive and Hides Information categories. The discount promotion prominently displayed may not be immediately clear on conditions, which implies some level of deceptive and hidden information. The presentation is somewhat biased towards the promotion but not overly restrictive in terms of user choice."
Harvey Norman Furniture,,,,,,,,,,,,,,,,3,2,3,5,4,17,"The website uses subtle dark patterns, with the most noticeable being some hidden information and mild restrictions. The visual presentation and information given for the hCaptcha check are mostly straightforward with some minor biases."
Nick Scali,,,,,,,,,4,6,5,6,3,24,"The website demonstrates moderate use of dark patterns, with particular emphasis on covert techniques and hiding information. Some information is delayed or requires additional steps to access, and there is noticeable use of design elements to subtly influence user behavior. The site is not overly restrictive, but some bias in presentation and information access is observed.",5,4,5,6,3,23,"The website shows some dark pattern elements, particularly in the Asymmetric and Hides Information categories. The presentation is mildly biased, and some information requires additional steps to access. Deceptive elements are present, but alternatives are not extremely restricted."
Brosa,,,,,,,,,8,7,6,9,9,39,"The website heavily employs dark patterns, particularly in the Hides Information and Restrictive categories. The presentation is asymmetric and covert, leading to a notably misleading and restrictive user experience. Users are blocked without clear reasons, and crucial information on how to resolve the issue is obscured.",6,7,8,9,9,39,"The website employs several dark patterns, with particularly high scores in the Deceptive, Hides Information and Restrictive categories. The blocking message is vague and potentially misleading, with heavy restrictions on user actions without clear or transparent information on how to resolve the issue."
Temple & Webster,1,1,1,1,1,5,50,"The website's CAPCHA verification process is straightforward and does not employ dark patterns. It ensures the security of the connection without biases, covert manipulation, deception, obscuring information, or restricting user choices.",1,2,2,1,4,10,"The website does not employ significant dark patterns. The main interaction is straightforward and required for security verification, causing minimal user inconvenience or manipulation.",0,2,1,0,0,3,"The website verification page does not employ significant dark patterns. It simply asks users to verify they are human, and there are no major elements of asymmetry, covert tactics, deception, hidden information, or restrictive practices evident."
Interior Secrets,6,3,5,7,4,25,50,"The website engages in multiple dark patterns, particularly in the categories of Hides Information and Asymmetric design. The information about the sale is prominent, but critical details like terms and conditions for the discount code are less noticeable.",,,,,,,,5,4,3,6,2,20,"The website demonstrates some dark pattern characteristics. The presentation leans towards emphasizing certain actions over others, some design elements subtly influence user choices, and key information can be somewhat obscured or delayed. However, it does not heavily restrict user choices."
Matt Blatt,6,8,7,9,10,40,50,"The website employs several dark patterns, with very high scores in Restrictive and Hides Information categories. The presentation is noticeably biased, user decisions are heavily manipulated, and crucial information is hidden or only revealed at the last possible moment. Additionally, the website is extremely restrictive in user actions.",9,6,7,8,9,39,"The website heavily employs dark patterns, particularly in the Asymmetric, Hides Information, and Restrictive categories. The user's choices are extremely limited and biased towards preventing access, with key information about the blocking criteria obscured.",,,,,,,
Sleeping Duck,,,,,,,,,6,5,4,7,3,25,"The website showcases notable use of dark patterns. It has a noticeably biased presentation with choices that are not equally prominent, some subtle design influences, and important information that may be somewhat obscured or delayed. However, there are fewer restrictions in user choices, and the information presented is not completely deceptive.",6,5,6,6,4,27,"The website uses several dark patterns, particularly in the Asymmetric and Hides Information categories. The presentation is noticeably biased towards purchasing, and some information is only available through additional steps such as watching the film or further exploring the site."
Koala,,,,,,,,,3,2,2,4,2,13,"The website has a generally user-friendly layout with mild dark patterns. There is a slight bias in the asymmetry of options, and some information requires additional steps to access. However, the overall level of dark patterns is relatively low.",5,3,4,6,2,20,"The website displays some dark patterns, but they are not overly aggressive. While there is a promotional emphasis on the '120 Night Free Trial,' the information is overall somewhat transparent and not overly restrictive. Some information might be delayed or require additional steps to access, leading to a moderate Hides Information score."
Eva,6,4,3,2,5,20,50,"The website employs a few dark patterns, with a notable bias in presenting the email sign-up form prominently. There are some covert design elements subtly influencing the user to sign up. The information is relatively forthcoming with minimal important details hidden. The user is somewhat restricted in their actions, primarily nudged towards providing their email.",6,5,3,7,8,29,"The website uses several dark patterns, particularly in the Asymmetric, Hides Information, and Restrictive categories. The sign-up prompt is prominently displayed, requiring the user to provide their email to continue, imposing notable restrictions on the user's ability to navigate the website without providing personal information.",8,4,3,6,7,28,"The website uses several dark patterns, particularly in the Asymmetric and Restrictive categories. The signup prompt obscures the underlying content and restricts user action, while also somewhat hiding information about service availability."
Australia Post,0,0,0,0,0,0,50,"The website does not employ dark patterns in the analyzed section. The content is straightforward, transparent, and does not exhibit bias, covert influences, deceptive practices, hidden information, or restrictive choices.",1,1,1,1,1,5,"The website appears transparent and straightforward in its presentation. Information is readily available, and user choices are clear and unrestricted. There are no significant indicators of dark patterns on this page.",2,2,3,1,0,8,"The website has very few dark patterns. Most user information is transparent and easy to access, and there are no restrictive elements forcing user actions. Bias in presentation is minimal and there are no significantly deceptive elements."
Redbubble,3,2,1,1,2,9,50,"The website's captcha verification screen shows minimal use of dark patterns. There's a slight bias in the presentation, but overall, it is relatively straightforward with limited restrictive elements or hidden information.",2,0,0,0,3,5,"The website shows minimal use of dark patterns. The options are fairly balanced without misleading or hidden information. There is a slight restriction in forcing users to verify their humanity before proceeding, but this is standard for security protocols.",1,2,1,2,1,7,"The website employs very minimal dark patterns. The human verification process is straightforward and transparent, with little to no misleading or hidden information."
